Model,Price,Brand,Mileage,Year,Fuel
Prado   TX L Package 2.7,300000,Toyota,41000,2018,Petrol
Alto   VXR,12450000,Suzuki,120476,2012,Petrol
Prius   S Touring Selection,800000,Toyota,56757,2017,Hybrid
City 5th Generation  Aspire Prosmatec 1.5 i-VTEC,430000,Honda,35152,2020,Petrol
Corolla   GLi 1.3 VVTi,2550000,Toyota,121602,2012,Petrol
Vitz   F 1.0,430000,Toyota,10600,2020,Petrol
Land Cruiser   ZX Gasoline 3.5L,9500000,Toyota,1,2023,Petrol
Move   L SA,2050000,Daihatsu,101310,2014,Petrol
Mehran   VXR Euro II,1250000,Suzuki,94877,2016,Petrol
Alto   VXL AGS,27750000,Suzuki,63176,2021,Petrol
Mira   L,200000,Daihatsu,137499,2013,Petrol
City 5th Generation  1.3 i-VTEC,330000,Honda,65225,2017,Petrol
Alto   VXR,23750000,Suzuki,9555,2022,Petrol
Khyber   GA,630000,Suzuki,65000,1998,Petrol
Corolla   GLi 1.3 VVTi,3150000,Toyota,215000,2016,Petrol
Corolla   Altis Grande CVT-i 1.8,570000,Toyota,66072,2018,Petrol
Mirage   1.0 M,2290000,Mitsubishi,83973,2014,Petrol
Cuore   CX Eco,780000,Daihatsu,268607,2005,Petrol
Vitz   F 1.0,31750000,Toyota,84646,2014,Petrol
Margalla,50000,Suzuki,200000,1997,Petrol
Sorento   2.4 FWD,100000,KIA,6147,2022,Petrol
BR-V   i-VTEC S,600000,Honda,30714,2022,Petrol
Yaris   ATIV X CVT 1.5,5050000,Toyota,6454,2022,Petrol
City 6th Generation  1.5L ASPIRE CVT,500000,Honda,20865,2021,Petrol
Yaris   ATIV X CVT 1.5,4350000,Toyota,27653,2020,Petrol
Wagon R   VXL,1950000,Suzuki,78000,2017,Petrol
Move   L SA 3,29750000,Daihatsu,25149,2018,Petrol
Karvaan   Plus,230000,Changan,22828,2021,Petrol
Alto   VX,22150000,Suzuki,36700,2020,Petrol
Cultus   VXL,310000,Suzuki,82948,2020,Petrol
Alsvin   1.5L DCT Lumiere,3450000,Changan,22000,2021,Petrol
BR-V   i-VTEC S,510000,Honda,76316,2020,Petrol
City 6th Generation  1.5L ASPIRE CVT,5570000,Honda,2776,2022,Petrol
Copen   10th Anniversary Edition,230000,Daihatsu,80178,2010,Petrol
